danceability,energy,speechiness,acousticness,instrumentalness,valence,loudness_scaled,tempo_scaled,liveness,duration_ms_log_scaled,mode,song_age_scaled,key_1.0,key_2.0,key_3.0,key_4.0,key_5.0,key_6.0,key_7.0,key_8.0,key_9.0,key_10.0,key_11.0,time_signature_3.0,time_signature_4.0,time_signature_5.0,track_popularity
0.0783,0.0523,0.0471,0.896,0.945,0.0327,-1.9367240761376,-1.2689200139733985,0.0806,3.368051230643481,1.0,0.3714285714285714,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,55
0.253,0.098,0.0437,0.93,0.862,0.062,-1.468406907350491,-1.1687858675331027,0.122,3.6526729199844215,0.0,0.05714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,53
0.194,0.0545,0.0366,0.983,0.945,0.0385,-2.1633067372011165,0.8023108866588419,0.0551,3.6717216983922807,1.0,0.17142857142857143,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,60
0.341,0.0142,0.0388,0.993,0.921,0.0384,-2.6381572710618357,-1.4668342760429376,0.113,1.8750511486414831,1.0,0.1857142857142857,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53
0.279,0.0292,0.0406,0.987,0.902,0.0338,-2.431174705219151,0.653550193315609,0.104,1.2668376195417408,1.0,0.1857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,60
0.184,0.00527,0.0432,0.995,0.887,0.151,-3.8851959535163196,1.843916818367267,0.173,1.4905539005724526,0.0,0.24285714285714283,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,68
0.235,0.0639,0.049,0.962,0.603,0.0781,-2.0975560631624397,0.09153412087386416,0.466,0.104606107187721,0.0,0.35714285714285715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,57
0.225,0.0047,0.0509,0.992,0.881,0.186,-3.004442738486601,1.5998354445705174,0.0722,0.8944171033645828,0.0,0.34285714285714286,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,65
0.353,0.254,0.0349,0.948,0.859,0.0986,-0.9578313772361983,0.5508160725466876,0.0843,3.2687915883607785,1.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,44
0.374,0.178,0.0389,0.92,0.0235,0.148,-0.8956949051531359,-0.7832167015556263,0.0754,1.5670453335019865,1.0,0.41428571428571426,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,47
0.701,0.341,0.0418,0.499,0.903,0.163,-0.4094457343554788,-0.4433227602702146,0.359,-0.7489408433403831,0.0,0.14285714285714285,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,62
0.307,0.0851,0.0399,0.968,0.872,0.0388,-1.5508385134920035,0.3855068939496383,0.101,4.213033329840153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,45
0.323,0.682,0.062,0.763,0.647,0.646,-0.12420179539699043,1.7986983459221226,0.127,-0.15022794799416817,1.0,0.14285714285714285,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,47
0.263,0.27,0.0348,0.876,0.865,0.228,-1.04749138728894,0.3852258156438406,0.0562,0.30135989700060734,0.0,0.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,46
0.102,0.0733,0.0488,0.974,0.859,0.0308,-2.059884958163536,-1.5521415418524251,0.28,3.1179368308070186,0.0,0.19999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,55
0.0623,0.0116,0.0567,0.991,0.445,0.0331,-2.582554164052384,-1.8647357526872714,0.0816,2.3343097059362075,1.0,0.2571428571428571,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,49
